Date,U.K. pound (GBP),U.S. dollar (USD)
28-Aug-2000,,0.763945
29-Aug-2000,1.11894,0.764668
30-Aug-2000,1.11077,0.767954
31-Aug-2000,1.11527,0.766402
01-Sep-2000,1.11309,0.767649
04-Sep-2000,1.11757,0.763573
05-Sep-2000,1.11325,0.767866
06-Sep-2000,1.1133,0.768321
07-Sep-2000,1.10769,0.771478
08-Sep-2000,1.09753,0.771498
11-Sep-2000,1.09624,0.775876
12-Sep-2000,1.08925,0.776205
13-Sep-2000,1.0924,0.77618
14-Sep-2000,1.09647,0.775052
15-Sep-2000,1.09597,0.777282
18-Sep-2000,1.0897,0.778748
19-Sep-2000,1.0928,0.779013
20-Sep-2000,1.10106,0.779401
21-Sep-2000,1.10116,0.777763
22-Sep-2000,1.12554,0.771341
25-Sep-2000,1.12503,0.770727
26-Sep-2000,1.12164,0.770728
27-Sep-2000,1.12764,0.769509
28-Sep-2000,1.12756,0.769248
29-Sep-2000,1.13268,0.770481
02-Oct-2000,1.13603,0.770401
03-Oct-2000,1.12967,0.772426
04-Oct-2000,1.12645,0.773661
05-Oct-2000,1.1263,0.774517
06-Oct-2000,1.12295,0.774557
09-Oct-2000,1.12211,0.77547
10-Oct-2000,1.12552,0.772915
11-Oct-2000,1.12903,0.772623
12-Oct-2000,1.12947,0.773396
13-Oct-2000,1.13841,0.773058
16-Oct-2000,1.12485,0.778337
17-Oct-2000,1.11811,0.779228
18-Oct-2000,1.12594,0.777799
19-Oct-2000,1.12658,0.779696
20-Oct-2000,1.1289,0.779841
23-Oct-2000,1.13691,0.781648
24-Oct-2000,1.13493,0.781203
25-Oct-2000,1.12837,0.782882
26-Oct-2000,1.11765,0.784151
27-Oct-2000,1.1239,0.783422
30-Oct-2000,1.13848,0.778022
31-Oct-2000,1.13238,0.781651
01-Nov-2000,1.12429,0.777947
02-Nov-2000,1.1264,0.774901
03-Nov-2000,1.12052,0.772669
06-Nov-2000,1.1193,0.773422
07-Nov-2000,1.11029,0.776152
08-Nov-2000,1.10656,0.778061
09-Nov-2000,1.10246,0.778735
10-Nov-2000,1.1079,0.776166
13-Nov-2000,1.1111,0.776614
14-Nov-2000,1.11321,0.777108
15-Nov-2000,1.10953,0.778074
16-Nov-2000,1.11062,0.779217
17-Nov-2000,1.10948,0.780333
20-Nov-2000,1.11342,0.781239
21-Nov-2000,1.11445,0.782897
22-Nov-2000,1.11013,0.784153
23-Nov-2000,1.1031,0.78546
24-Nov-2000,1.10465,0.786449
27-Nov-2000,1.10832,0.787771
28-Nov-2000,1.11034,0.783533
29-Nov-2000,1.10824,0.779846
30-Nov-2000,1.10838,0.780052
01-Dec-2000,1.11605,0.778709
04-Dec-2000,1.1216,0.774208
05-Dec-2000,1.12125,0.775254
06-Dec-2000,1.11388,0.775629
07-Dec-2000,1.11853,0.772464
08-Dec-2000,1.12168,0.773681
11-Dec-2000,1.11988,0.774898
12-Dec-2000,1.12541,0.776413
13-Dec-2000,1.12734,0.778816
14-Dec-2000,1.13911,0.77559
15-Dec-2000,1.139,0.772361
18-Dec-2000,1.13705,0.773031
19-Dec-2000,1.13315,0.774436
20-Dec-2000,1.13332,0.771966
21-Dec-2000,1.1317,0.768769
22-Dec-2000,1.13591,0.766468
26-Dec-2000,,0.766882
27-Dec-2000,1.14034,0.766463
28-Dec-2000,1.14187,0.767849
29-Dec-2000,1.14528,0.767514
02-Jan-2001,1.13896,0.763938
03-Jan-2001,1.14625,0.760264
04-Jan-2001,1.14146,0.762601
05-Jan-2001,1.14468,0.762511
08-Jan-2001,1.14713,0.763279
09-Jan-2001,1.14043,0.76606
10-Jan-2001,1.14375,0.766484
11-Jan-2001,1.14368,0.764086
12-Jan-2001,1.13989,0.764567
15-Jan-2001,1.13556,0.768774
16-Jan-2001,1.13186,0.768979
17-Jan-2001,1.13331,0.769392
18-Jan-2001,1.13264,0.769351
19-Jan-2001,1.13255,0.768509
22-Jan-2001,1.12541,0.77099
23-Jan-2001,1.12992,0.768075
24-Jan-2001,1.13144,0.771894
25-Jan-2001,1.12511,0.776365
26-Jan-2001,1.12952,0.77174
29-Jan-2001,1.12772,0.774109
30-Jan-2001,1.12964,0.774413
31-Jan-2001,1.12769,0.770541
01-Feb-2001,1.13027,0.766025
02-Feb-2001,1.13125,0.766015
05-Feb-2001,1.13047,0.766369
06-Feb-2001,1.12634,0.767733
07-Feb-2001,1.12472,0.769829
08-Feb-2001,1.12147,0.773323
09-Feb-2001,1.1188,0.774524
12-Feb-2001,1.12246,0.773204
13-Feb-2001,1.12425,0.772414
14-Feb-2001,1.12776,0.77366
15-Feb-2001,1.12391,0.777042
16-Feb-2001,1.125,0.774259
19-Feb-2001,1.12268,0.772345
20-Feb-2001,1.11616,0.777108
21-Feb-2001,1.1205,0.775808
22-Feb-2001,1.12323,0.77775
23-Feb-2001,1.12339,0.77846
26-Feb-2001,1.12552,0.776865
27-Feb-2001,1.11968,0.775292
28-Feb-2001,1.12033,0.773709
01-Mar-2001,1.11987,0.77302
02-Mar-2001,1.13194,0.770812
05-Mar-2001,1.13645,0.773043
06-Mar-2001,1.13432,0.773069
07-Mar-2001,1.13147,0.773126
08-Mar-2001,1.13439,0.772851
09-Mar-2001,1.13077,0.771962
12-Mar-2001,1.13431,0.77475
13-Mar-2001,1.12847,0.776488
14-Mar-2001,1.13028,0.777788
15-Mar-2001,1.12874,0.782271
16-Mar-2001,1.12658,0.787214
19-Mar-2001,1.12509,0.785516
20-Mar-2001,1.1239,0.785616
21-Mar-2001,1.1249,0.787522
22-Mar-2001,1.12295,0.790141
23-Mar-2001,1.12269,0.788019
26-Mar-2001,1.12865,0.78816
27-Mar-2001,1.1282,0.787137
28-Mar-2001,1.12749,0.788617
29-Mar-2001,1.1373,0.789356
30-Mar-2001,1.13077,0.793241
02-Apr-2001,1.13091,0.795516
03-Apr-2001,1.12798,0.793517
04-Apr-2001,1.12961,0.789001
05-Apr-2001,1.12918,0.786557
06-Apr-2001,1.12727,0.788413
09-Apr-2001,1.13655,0.78703
10-Apr-2001,1.13607,0.787898
11-Apr-2001,1.13452,0.789944
12-Apr-2001,1.13469,0.790122
13-Apr-2001,,0.789804
16-Apr-2001,,0.79092
17-Apr-2001,1.13424,0.792513
18-Apr-2001,1.12974,0.792241
19-Apr-2001,1.12879,0.789199
20-Apr-2001,1.13228,0.784669
23-Apr-2001,1.13118,0.784667
24-Apr-2001,1.12919,0.78547
25-Apr-2001,1.12978,0.787032
26-Apr-2001,1.1316,0.785994
27-Apr-2001,1.13403,0.785831
30-Apr-2001,1.13115,0.790019
01-May-2001,1.12757,0.789999
02-May-2001,1.12703,0.787969
03-May-2001,1.1269,0.787874
04-May-2001,1.12801,0.786837
07-May-2001,,0.786385
08-May-2001,1.13057,0.788456
09-May-2001,1.12619,0.790311
10-May-2001,1.1238,0.789463
11-May-2001,1.12327,0.792764
14-May-2001,1.12608,0.793682
15-May-2001,1.12496,0.793456
16-May-2001,1.13002,0.791554
17-May-2001,1.13233,0.790902
18-May-2001,1.1323,0.792703
21-May-2001,1.13847,0.792859
22-May-2001,1.13916,0.793947
23-May-2001,1.1326,0.79609
24-May-2001,1.1248,0.794909
25-May-2001,1.12978,0.796239
28-May-2001,,0.796366
29-May-2001,1.12983,0.796382
30-May-2001,1.13176,0.796284
31-May-2001,1.13002,0.797305
01-Jun-2001,1.13061,0.797217
04-Jun-2001,1.13034,0.796577
05-Jun-2001,1.12603,0.799625
06-Jun-2001,1.12003,0.798484
07-Jun-2001,1.1065,0.800649
08-Jun-2001,1.10655,0.801153
11-Jun-2001,1.1102,0.801707
12-Jun-2001,1.10363,0.802813
13-Jun-2001,1.10305,0.800875
14-Jun-2001,1.11403,0.800772
15-Jun-2001,1.11979,0.794913
18-Jun-2001,1.12099,0.79928
19-Jun-2001,1.1175,0.799988
20-Jun-2001,1.1183,0.801534
21-Jun-2001,1.12756,0.800481
22-Jun-2001,1.13335,0.800787
25-Jun-2001,1.12968,0.798305
26-Jun-2001,1.1275,0.798401
27-Jun-2001,1.13042,0.798262
28-Jun-2001,1.1311,0.801627
29-Jun-2001,1.1272,0.802795
02-Jul-2001,1.13602,0.802673
03-Jul-2001,1.13156,0.802926
04-Jul-2001,1.12827,0.804011
05-Jul-2001,1.13209,0.805584
06-Jul-2001,1.13053,0.807
09-Jul-2001,1.13093,0.804586
10-Jul-2001,1.13066,0.802116
11-Jul-2001,1.1317,0.798996
12-Jul-2001,1.12754,0.801149
13-Jul-2001,1.12399,0.800906
16-Jul-2001,1.12253,0.801579
17-Jul-2001,1.12335,0.80314
18-Jul-2001,1.12588,0.799123
19-Jul-2001,1.12595,0.794491
20-Jul-2001,1.13562,0.793417
23-Jul-2001,1.13247,0.795551
24-Jul-2001,1.12847,0.795536
25-Jul-2001,1.13088,0.794103
26-Jul-2001,1.13353,0.792675
27-Jul-2001,1.13126,0.793532
30-Jul-2001,1.13262,0.795212
31-Jul-2001,1.13264,0.794447
01-Aug-2001,1.13469,0.792766
02-Aug-2001,1.13594,0.791979
03-Aug-2001,1.13232,0.792165
06-Aug-2001,1.12867,0.792553
07-Aug-2001,1.1249,0.794476
08-Aug-2001,1.12387,0.794139
09-Aug-2001,1.12344,0.790762
10-Aug-2001,1.12238,0.78758
13-Aug-2001,1.1184,0.785727
14-Aug-2001,1.11896,0.787779
15-Aug-2001,1.12201,0.781019
16-Aug-2001,1.12662,0.777996
17-Aug-2001,1.1257,0.77925
20-Aug-2001,1.1258,0.779426
21-Aug-2001,1.12902,0.779012
22-Aug-2001,1.13041,0.776006
23-Aug-2001,1.12745,0.780401
24-Aug-2001,1.12474,0.780311
27-Aug-2001,,0.780376
28-Aug-2001,1.1255,0.78241
29-Aug-2001,1.134,0.778472
30-Aug-2001,1.13327,0.779685
31-Aug-2001,1.13334,0.776261
03-Sep-2001,1.13362,0.779123
04-Sep-2001,1.13327,0.782588
05-Sep-2001,1.13638,0.785499
06-Sep-2001,1.14276,0.786807
07-Sep-2001,1.14034,0.78444
10-Sep-2001,1.14419,0.780381
11-Sep-2001,1.14293,0.784708
12-Sep-2001,1.14253,0.779456
13-Sep-2001,1.1433,0.779242
14-Sep-2001,1.14262,0.775342
17-Sep-2001,1.13405,0.771046
18-Sep-2001,1.13379,0.772492
19-Sep-2001,1.1308,0.772195
20-Sep-2001,1.13244,0.77247
21-Sep-2001,1.12651,0.773754
24-Sep-2001,1.13221,0.775431
25-Sep-2001,1.13269,0.77449
26-Sep-2001,1.14072,0.773105
27-Sep-2001,1.14266,0.774949
28-Sep-2001,1.14057,0.77579
01-Oct-2001,1.14953,0.777605
02-Oct-2001,1.1491,0.777419
03-Oct-2001,1.14228,0.777164
04-Oct-2001,1.14559,0.777886
05-Oct-2001,1.14833,0.776683
08-Oct-2001,1.14238,0.775337
09-Oct-2001,1.14029,0.775919
10-Oct-2001,1.13045,0.779409
11-Oct-2001,1.13391,0.781633
12-Oct-2001,1.13232,0.7828
15-Oct-2001,1.13177,0.780208
16-Oct-2001,1.13089,0.783219
17-Oct-2001,1.13275,0.783313
18-Oct-2001,1.1301,0.783374
19-Oct-2001,1.13,0.783961
22-Oct-2001,1.12467,0.785606
23-Oct-2001,1.12215,0.789749
24-Oct-2001,1.12395,0.788181
25-Oct-2001,1.12502,0.789099
26-Oct-2001,1.12743,0.787859
29-Oct-2001,1.13677,0.784846
30-Oct-2001,1.13693,0.781932
31-Oct-2001,1.1389,0.782426
01-Nov-2001,1.14348,0.780642
02-Nov-2001,1.14445,0.781515
05-Nov-2001,1.14006,0.785439
06-Nov-2001,1.14221,0.783677
07-Nov-2001,1.14548,0.781577
08-Nov-2001,1.14581,0.783244
09-Nov-2001,1.13814,0.785411
12-Nov-2001,1.14134,0.784802
13-Nov-2001,1.14016,0.787568
14-Nov-2001,1.13658,0.790391
15-Nov-2001,1.13426,0.789873
16-Nov-2001,1.13098,0.790122
19-Nov-2001,1.1265,0.79275
20-Nov-2001,1.12299,0.791229
21-Nov-2001,1.12515,0.792081
22-Nov-2001,1.12203,0.793854
23-Nov-2001,1.12327,0.794394
26-Nov-2001,1.12431,0.792718
27-Nov-2001,1.11923,0.7944
28-Nov-2001,1.1213,0.791934
29-Nov-2001,1.12558,0.789214
30-Nov-2001,1.12592,0.789841
03-Dec-2001,1.1217,0.789265
04-Dec-2001,1.12411,0.789734
05-Dec-2001,1.12391,0.789929
06-Dec-2001,1.12144,0.792087
07-Dec-2001,1.1279,0.790453
10-Dec-2001,1.13269,0.791868
11-Dec-2001,1.13352,0.791177
12-Dec-2001,1.1387,0.789446
13-Dec-2001,1.13998,0.78886
14-Dec-2001,1.14408,0.787877
17-Dec-2001,1.14736,0.786942
18-Dec-2001,1.14691,0.78842
19-Dec-2001,1.14378,0.790286
20-Dec-2001,1.14218,0.790598
21-Dec-2001,1.14786,0.792175
24-Dec-2001,1.14273,0.797103
25-Dec-2001,,0.797103
26-Dec-2001,,0.797324
27-Dec-2001,1.15308,0.797152
28-Dec-2001,1.15393,0.796419
31-Dec-2001,1.15411,0.795716
01-Jan-2002,,0.795716
02-Jan-2002,1.14895,0.791831
03-Jan-2002,1.14354,0.791375
04-Jan-2002,1.14102,0.793312
07-Jan-2002,1.1421,0.795998
08-Jan-2002,1.14649,0.796227
09-Jan-2002,1.14593,0.795069
10-Jan-2002,1.14827,0.795038
11-Jan-2002,1.14676,0.794925
14-Jan-2002,1.15094,0.79397
15-Jan-2002,1.14826,0.793985
16-Jan-2002,1.14549,0.797694
17-Jan-2002,1.14517,0.798364
18-Jan-2002,1.14704,0.798883
21-Jan-2002,1.14567,0.798046
22-Jan-2002,1.14186,0.799788
23-Jan-2002,1.1416,0.798883
24-Jan-2002,1.1415,0.802348
25-Jan-2002,1.13815,0.805773
28-Jan-2002,1.13485,0.807381
29-Jan-2002,1.13714,0.806196
30-Jan-2002,1.13856,0.803894
31-Jan-2002,1.13772,0.805125
01-Feb-2002,1.13877,0.806951
04-Feb-2002,1.1406,0.805338
05-Feb-2002,1.14168,0.802925
06-Feb-2002,1.13816,0.804408
07-Feb-2002,1.13546,0.805292
08-Feb-2002,1.13777,0.803225
11-Feb-2002,1.14073,0.802029
12-Feb-2002,1.14358,0.801952
13-Feb-2002,1.14685,0.800371
14-Feb-2002,1.14476,0.802723
15-Feb-2002,1.14581,0.802555
18-Feb-2002,1.14561,0.802022
19-Feb-2002,1.14498,0.803893
20-Feb-2002,1.14685,0.801487
21-Feb-2002,1.14532,0.803003
22-Feb-2002,1.14546,0.803323
25-Feb-2002,1.14651,0.802204
26-Feb-2002,1.14575,0.804034
27-Feb-2002,1.14229,0.805904
28-Feb-2002,1.14109,0.805396
01-Mar-2002,1.14243,0.803962
04-Mar-2002,1.13934,0.804393
05-Mar-2002,1.14021,0.802964
06-Mar-2002,1.14024,0.802026
07-Mar-2002,1.13476,0.797888
08-Mar-2002,1.13467,0.796597
11-Mar-2002,1.13427,0.798669
12-Mar-2002,1.13102,0.799193
13-Mar-2002,1.12851,0.799396
14-Mar-2002,1.12986,0.796688
15-Mar-2002,1.13409,0.796075
